City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
131,fale old settlement,-9.3852,-171.2468,84.65,77,63,14.92,TK,1700332165
132,praia da vitoria,38.7333,-27.0667,66.76,82,40,16.28,PT,1700332166
133,glace bay,46.1969,-59.957,61.79,87,100,18.41,CA,1700332166
134,petropavlovsk-kamchatsky,53.0452,158.6483,31.46,98,100,13.0,RU,1700332167
135,bang ban,14.3739,100.4853,71.94,68,26,7.07,TH,1700332168
136,hilo,19.7297,-155.09,77.61,76,20,4.61,US,1700332169
137,rio grande,-32.035,-52.0986,79.95,70,100,13.69,BR,1700332047
138,puerto natales,-51.7236,-72.4875,45.05,49,75,21.85,CL,1700332170
139,kalamata,37.0389,22.1142,57.11,61,20,3.44,GR,1700332171
140,solapur,17.6833,75.9167,78.53,53,7,5.99,IN,1700332172
141,severo-vostotchnyi bank,39.4112,49.2479,62.37,85,97,5.46,AZ,1700332173
142,cimislia,46.52,28.7842,39.34,68,100,24.87,MD,1700332174
143,suihua,46.6406,126.9969,15.69,96,96,7.87,CN,1700332175
144,murehwa,-17.6432,31.784,74.44,28,3,5.01,ZW,1700332175
145,vallenar,-28.5708,-70.7581,87.82,14,1,13.27,CL,1700332176
146,weno,7.4515,151.8468,78.75,89,40,3.44,FM,1700332177
147,zouerate,22.7187,-12.4521,81.16,13,0,8.3,MR,1700332178
148,songea,-10.6833,35.65,70.77,74,79,2.71,TZ,1700332178
149,pisco,-13.7,-76.2167,69.03,83,100,8.05,PE,1700332179
150,malaya vishera,58.8454,32.2222,19.2,95,58,3.98,RU,1700332180
151,cheney,47.4874,-117.5758,40.39,89,40,11.5,US,1700332132
152,tindouf,27.6711,-8.1474,77.45,16,0,6.91,DZ,1700332182
153,island harbour,50.724,-1.2758,59.94,92,100,11.01,GB,1700332183
154,rongelap,11.1635,166.8941,82.27,78,15,16.91,MH,1700332184
155,fort st. john,56.2499,-120.8529,42.69,75,75,10.36,CA,1700332088
156,aasiaat,68.7098,-52.8699,31.03,70,100,12.15,GL,1700332186
157,banikoara,11.2985,2.4386,85.26,21,89,4.81,BJ,1700332187
158,haiku-pauwela,20.9219,-156.3051,77.04,67,0,3.44,US,1700332187
159,auki,-8.7676,160.7034,77.34,88,15,4.07,SB,1700332188
160,chegdomyn,51.1167,133.0167,17.92,94,95,0.11,RU,1700332189
161,lompoc,34.6391,-120.4579,68.41,57,100,17.27,US,1700332189
162,fort irwin,35.2627,-116.6848,62.13,55,0,0.0,US,1700332190
163,constantia,44.1833,28.65,43.48,93,100,30.51,RO,1700332157
164,richards bay,-28.783,32.0377,72.84,85,60,3.02,ZA,1700332192
165,pierre,44.3683,-100.351,54.28,43,0,4.61,US,1700332193
166,norwich,52.6278,1.2983,57.47,92,100,12.66,GB,1700332064
167,toliara,-23.35,43.6667,77.32,89,7,3.8,MG,1700332194
168,prince rupert,54.3161,-130.3201,47.89,84,100,23.02,CA,1700331910
169,la ronge,55.1001,-105.2842,30.45,69,40,2.3,CA,1700332196
170,tateyama,34.9833,139.8667,53.1,71,0,17.85,JP,1700332197
171,lijiang,26.8688,100.2207,43.77,98,100,1.28,CN,1700332198
172,champua,22.0833,85.6667,72.43,68,79,2.53,IN,1700332199
173,madhupur,24.25,86.65,70.27,69,0,4.14,IN,1700332199
174,college,64.8569,-147.8028,4.08,85,100,0.0,US,1700332200
175,utrik,11.2278,169.8474,81.82,75,1,14.58,MH,1700332201
176,holualoa,19.6228,-155.9522,75.78,79,0,4.61,US,1700332186
177,maintirano,-18.0667,44.0167,79.83,78,13,3.6,MG,1700332204
178,sardarshahr,28.4333,74.4833,69.19,40,0,5.57,IN,1700332205
179,roswell,34.0232,-84.3616,73.18,53,0,14.97,US,1700331819
180,jalai nur,49.45,117.7,15.03,95,20,7.16,CN,1700332207
181,charlottetown,46.2352,-63.1267,57.65,94,100,24.0,CA,1700331918
182,el espinal,16.3333,-94.0667,86.5,28,0,7.63,MX,1700332209
183,olonkinbyen,70.9221,-8.7187,29.97,82,93,10.31,SJ,1700332210
184,hadibu,12.65,54.0333,79.83,75,16,8.41,YE,1700332211
185,isangel,-19.55,169.2667,73.51,83,37,4.61,VU,1700332212
186,saint-francois,46.4154,3.9054,53.65,82,100,1.14,FR,1700332213
187,sinop,41.7711,34.8709,52.93,83,100,17.31,TR,1700332214
188,anadyr,64.75,177.4833,10.9,92,75,4.47,RU,1700332215
189,inderbor,48.55,51.7833,35.13,69,68,11.1,KZ,1700332216
190,lar,26.2039,83.9717,72.43,59,5,2.04,IN,1700332217
191,mirny,62.5353,113.9611,19.42,94,100,7.25,RU,1700332218
192,upata,8.0086,-62.3989,89.19,61,100,5.55,VE,1700332219
